enst,transcript.id,gene,log2FoldChange,padj
ENST00000330964.10,RPS27L-201,RPS27L,-1.63059121474301,6.6615631026235e-4
ENST00000299759.11,RRAD-201,RRAD,-2.56292918116414,1.55417325480415e-4
ENST00000380527.3,RRAGA-201,RRAGA,-1.80426017313074,0.0085522588734959
ENST00000370775.2,RTL8A-201,RTL8A,-1.93331733280968,0.00693737311161241
ENST00000264932.11,SDHA-201,SDHA,-1.96535662842237,8.98409130695376e-5
ENST00000268220.12,SEC11A-201,SEC11A,-1.20615216841508,0.00389216149907684
ENST00000337354.8,SEC13-201,SEC13,-1.5463721060269,0.00837554673248209
ENST00000400299.6,SELENOM-201,SELENOM,-2.04792152823182,5.36530635713806e-4
ENST00000329047.12,SEPTIN9-201,SEPTIN9,-3.04956016050456,1.12805804952679e-4
ENST00000253063.4,SESN2-201,SESN2,-2.28866020853999,0.00900395881404431
ENST00000339276.6,SFN-201,SFN,-1.84348789799349,0.00825332705097944
ENST00000262929.9,SIRPB1-201,SIRPB1,-4.46725429710479,0.00534305779296442
ENST00000431510.1,SLC25A38-201,SLC25A38,-2.09999914044638,8.93744591311847e-5
ENST00000225308.12,SLC25A39-201,SLC25A39,-1.8449436694136,0.00332721265867589
ENST00000240333.12,SLC35B1-201,SLC35B1,-1.79341709508411,6.29991295749635e-4
ENST00000276833.9,SLC39A4-201,SLC39A4,-1.48613529539698,0.00922568479708667
ENST00000361804.4,SMC3-201,SMC3,-1.58219393650882,0.00143322470571351
ENST00000300917.9,SMG8-201,SMG8,-4.70798829013779,4.07620217535189e-4
ENST00000307106.3,SMIM4-201,SMIM4,-2.4614578383543,0.00846251132151866
ENST00000379516.7,SNX2-201,SNX2,-1.68767078816197,0.00534305779296442
ENST00000358208.8,SRC-201,SRC,-2.57489728827734,0.00137876324714186
ENST00000301740.13,SRRM2-201,SRRM2,-1.59074465324195,0.00920569053643891
ENST00000313117.11,SRSF7-201,SRSF7,-1.61519016045056,0.00183138617897875
ENST00000335693.8,SUGCT-201,SUGCT,-2.11303042574236,2.39308631043916e-4
ENST00000359930.8,SULF2-201,SULF2,-2.0674416414962,1.85402111678537e-5
ENST00000011473.6,SYPL1-201,SYPL1,-1.64047175596207,0.00249522244212535
ENST00000342112.9,TBC1D2-201,TBC1D2,-3.59781324375533,5.22250695845314e-5
ENST00000355528.9,TBCD-201,TBCD,-3.15950827326026,0.00455319408279687
ENST00000301634.12,TK1-201,TK1,-2.41508917608866,3.03593292781504e-4
ENST00000317635.5,TMEM11-201,TMEM11,-1.77922419849616,8.422260023606e-4
ENST00000202834.11,TMEM230-201,TMEM230,-1.1421807047514,0.00455319408279687
ENST00000310991.8,TMEM52-201,TMEM52,-3.44386744514402,0.00886885066149583
ENST00000372813.4,TOMM34-201,TOMM34,-1.60211869518524,0.0026026644096432
ENST00000361337.3,TOP1-201,TOP1,-1.46376119208824,0.0040547374048624
ENST00000238721.9,TP53I3-201,TP53I3,-2.03119149842628,5.02428581751847e-4
ENST00000327628.10,TRAK1-201,TRAK1,-2.58069853761998,0.00713791436630606
ENST00000217233.8,TRIB3-201,TRIB3,-2.03621699959912,0.00972126806901865
ENST00000313244.14,TRIP10-201,TRIP10,-1.70561469941303,0.00682483532217395
ENST00000200457.9,TRIP6-201,TRIP6,-2.81706190797158,8.93744591311847e-5
ENST00000252015.3,TRPC4AP-201,TRPC4AP,-2.27725190555232,0.00462317652687767
ENST00000325437.9,UBE2I-201,UBE2I,-1.42680543680518,0.00856692708380397
ENST00000395878.8,UBFD1-201,UBFD1,1.86883541354989,0.00105542464837461
ENST00000351487.5,UPF3A-201,UPF3A,-1.19960147023484,0.00328489211076584
ENST00000203407.6,UQCRC1-201,UQCRC1,-2.0853469014723,0.00124286666207606
ENST00000011700.10,VPS13D-201,VPS13D,3.18569372828038,0.00172702439518536
ENST00000536657.1,WASF2-201,WASF2,-1.29303732888597,0.00203318800014628
ENST00000217425.9,WFDC2-201,WFDC2,-2.79665064518597,9.94499151186494e-5
ENST00000216037.10,XBP1-201,XBP1,-2.40130353610423,0.00228390429059888
ENST00000285021.11,XPC-201,XPC,-2.93431672156545,0.00532786131181665
ENST00000228251.9,YBX3-201,YBX3,-1.22811541297761,0.00930209292297072
ENST00000277225.10,ZNF462-201,ZNF462,-2.86256190409759,0.00349209989350682
ENST00000370574.4,ZNHIT6-201,ZNHIT6,2.85126832814615,1.05848739888984e-9
