,,,,,Dilution factor,200,
Size (nm), Read 1 (particles / ml),Read 2 (particles / ml),Read 3 (particles / ml),Average,Standard Error,,
137.5,160728,225755,1189816,525433,332721,,105086600
138.5,169774,233230,1313345,572116,371067,,114423200
139.5,179633,241283,1434620,618512,408442,,123702400
140.5,190351,249968,1550572,663631,443805,,132726200
141.5,201978,259340,1658115,706478,476107,,141295600
142.5,214565,269457,1754317,746113,504351,,149222600
143.5,228166,280379,1836562,781702,527645,,156340400
144.5,242837,292167,1902699,812568,545252,,162513600
145.5,258639,304885,1951158,838227,556625,,167645400
146.5,275631,318598,1981022,858417,561440,,171683400
147.5,293876,333371,1992059,873102,559595,,174620400
148.5,313440,349272,1984700,882471,551211,,176494200
149.5,334389,366368,1959979,886912,536613,,177382400
150.5,356790,384724,1919441,886985,516291,,177397000
151.5,380712,404406,1865024,883381,490869,,176676200
152.5,406224,425477,1798928,876876,461059,,175375200
153.5,433394,447997,1723489,868293,427619,,173658600
154.5,462291,472023,1641061,858458,391311,,171691600
155.5,492983,497606,1553912,848167,352875,,169633400
156.5,525536,524791,1464142,838157,312993,,167631400
157.5,560015,553615,1373629,829086,272278,,165817200
158.5,596479,584106,1283986,821524,231259,,164304800
159.5,634987,616283,1196554,815941,190383,,163188200
160.5,675591,650152,1112394,812712,150021,,162542400
161.5,718338,685706,1032311,812118,110498,,162423600
162.5,763269,722926,956870,814355,72203,,162871000
163.5,810417,761775,886430,819541,36273,,163908200
164.5,859807,802202,821174,827727,16949,,165545400
165.5,911453,844137,761143,838911,43469,,167782200
166.5,965359,887496,706265,853040,76752,,170608000
167.5,1021518,932174,656384,870026,109890,,174005200
168.5,1079909,978050,611283,889747,142303,,177949400
169.5,1140495,1024986,570706,912062,173905,,182412400
170.5,1203225,1072826,534376,936809,204708,,187361800
171.5,1268034,1121400,502003,963812,234752,,192762400
172.5,1334835,1170523,473304,992887,264086,,198577400
173.5,1403526,1219997,448001,1023841,292754,,204768200
174.5,1473984,1269615,425833,1056477,320794,,211295400
175.5,1546069,1319158,406557,1090595,348235,,218119000
176.5,1619619,1368406,389949,1125992,375098,,225198400
177.5,1694453,1417131,375811,1162465,401391,,232493000
178.5,1770367,1465106,363963,1199812,427114,,239962400
179.5,1847142,1512105,354251,1237833,452254,,247566600
180.5,1924537,1557908,346540,1276328,476789,,255265600
181.5,2002292,1602302,340716,1315103,500690,,263020600
182.5,2080130,1645082,336687,1353966,523915,,270793200
183.5,2157760,1686056,334377,1392731,546416,,278546200
184.5,2234874,1725049,333729,1431217,568138,,286243400
185.5,2311155,1761898,334702,1469251,589017,,293850200
186.5,2386272,1796460,337271,1506668,608984,,301333600
187.5,2459892,1828612,341424,1543309,627966,,308661800
188.5,2531672,1858250,347165,1579029,645882,,315805800
189.5,2601272,1885291,354506,1613690,662650,,322738000
190.5,2668350,1909673,363476,1647166,678182,,329433200
191.5,2732571,1931355,374109,1679345,692392,,335869000
192.5,2793610,1950317,386452,1710127,705188,,342025400
193.5,2851149,1966560,400560,1739423,716482,,347884600
194.5,2904890,1980101,416493,1767161,726186,,353432200
195.5,2954551,1990979,434320,1793283,734213,,358656600
196.5,2999871,1999247,454111,1817743,740480,,363548600
197.5,3040615,2004976,475942,1840511,744910,,368102200
198.5,3076575,2008248,499889,1861570,747432,,372314000
199.5,3107571,2009160,526027,1880919,747981,,376183800
200.5,3133457,2007816,554430,1898568,746502,,379713600
