,,,,,Dilution factor,200,
Size (nm), Read 1 (particles / ml),Read 2 (particles / ml),Read 3 (particles / ml),Average,Standard Error,,
143.5,1081229,859291,491004,810508,172120,,162101600
144.5,1120737,865279,527774,837930,171719,,167586000
145.5,1159361,871819,567886,866355,170766,,173271000
146.5,1197037,879044,611560,895880,169222,,179176000
147.5,1233719,887075,659015,926603,167076,,185320600
148.5,1269376,896027,710467,958623,164351,,191724600
149.5,1303993,906004,766126,992041,161118,,198408200
150.5,1337570,917107,826189,1026956,157509,,205391200
151.5,1370123,929425,890841,1063463,153734,,212692600
152.5,1401679,943042,960243,1101655,150094,,220331000
153.5,1432276,958037,1034536,1141616,146998,,228323200
154.5,1461964,974480,1113826,1183423,144963,,236684600
155.5,1490802,992436,1198188,1227142,144592,,245428400
156.5,1518854,1011965,1287653,1272824,146514,,254564800
157.5,1546192,1033119,1382210,1320507,151291,,264101400
158.5,1572891,1055944,1481796,1370211,159318,,274042200
159.5,1599031,1080480,1586294,1421935,170767,,284387000
160.5,1624691,1106759,1695531,1475660,185581,,295132000
161.5,1649951,1134804,1809273,1531343,203534,,306268600
162.5,1674893,1164632,1927223,1588916,224299,,317783200
163.5,1699594,1196249,2049025,1648289,247508,,329657800
164.5,1724130,1229651,2174259,1709347,272785,,341869400
165.5,1748573,1264824,2302447,1771948,299764,,354389600
166.5,1772991,1301739,2433053,1835928,328095,,367185600
167.5,1797447,1340358,2565490,1901098,357442,,380219600
168.5,1821999,1380627,2699124,1967250,387484,,393450000
169.5,1846699,1422479,2833283,2034154,417910,,406830800
170.5,1871593,1465829,2967260,2101561,448419,,420312200
171.5,1896719,1510579,3100327,2169208,478718,,433841600
172.5,1922111,1556613,3231741,2236821,508526,,447364200
173.5,1947792,1603798,3360755,2304115,537571,,460823000
174.5,1973781,1651986,3486626,2370798,565595,,474159600
175.5,2000089,1701010,3608628,2436576,592352,,487315200
176.5,2026719,1750688,3726059,2501156,617614,,500231200
177.5,2053667,1800823,3838250,2564247,641170,,512849400
178.5,2080922,1851200,3944575,2625566,662831,,525113200
179.5,2108464,1901594,4044458,2684839,682428,,536967800
180.5,2136269,1951767,4137379,2741805,699817,,548361000
181.5,2164302,2001471,4222878,2796217,714878,,559243400
182.5,2192524,2050447,4300565,2847845,727517,,569569000
183.5,2220888,2098434,4370116,2896479,737666,,579295800
184.5,2249341,2145164,4431278,2941928,745282,,588385600
185.5,2277824,2190372,4483869,2984022,750349,,596804400
186.5,2306271,2233791,4527781,3022614,752874,,604522800
187.5,2334611,2275162,4562971,3057581,752890,,611516200
188.5,2362769,2314230,4589463,3088821,750452,,617764200
189.5,2390663,2350754,4607347,3116255,745635,,623251000
190.5,2418210,2384503,4616768,3139827,738535,,627965400
191.5,2445319,2415265,4617926,3159503,729263,,631900600
192.5,2471900,2442844,4611070,3175271,717948,,635054200
193.5,2497857,2467063,4596491,3187137,704733,,637427400
194.5,2523094,2487771,4574519,3195128,689771,,639025600
195.5,2547513,2504837,4545514,3199288,673226,,639857600
196.5,2571015,2518157,4509861,3199678,655269,,639935600
197.5,2593500,2527653,4467967,3196374,636081,,639274800
198.5,2614870,2533274,4420253,3189466,615844,,637893200
199.5,2635028,2534992,4367149,3179056,594748,,635811200
200.5,2653876,2532811,4309090,3165259,572982,,633051800
201.5,2671322,2526757,4246514,3148198,550742,,629639600
202.5,2687276,2516882,4179853,3128004,528220,,625600800
203.5,2701650,2503263,4109534,3104816,505613,,620963200
204.5,2714362,2485997,4035975,3078778,483117,,615755600
205.5,2725335,2465206,3959580,3050040,460928,,610008000
206.5,2734496,2441027,3880739,3018754,439240,,603750800
207.5,2741779,2413615,3799828,2985074,418247,,597014800
208.5,2747124,2383142,3717203,2949157,398138,,589831400
209.5,2750477,2349791,3633204,2911157,379100,,582231400
210.5,2751793,2313755,3548149,2871232,361308,,574246400
211.5,2751031,2275236,3462338,2829535,344927,,565907000
212.5,2748162,2234443,3376052,2786219,330103,,557243800
213.5,2743162,2191588,3289550,2741433,316955,,548286600
214.5,2736015,2146885,3203073,2695324,305573,,539064800
215.5,2726714,2100548,3116841,2648035,296004,,529607000
216.5,2715261,2052790,3031059,2599703,288252,,519940600
217.5,2701663,2003820,2945909,2550464,282270,,510092800
218.5,2685938,1953844,2861560,2500447,277964,,500089400
219.5,2668111,1903059,2778161,2449777,275199,,489955400
220.5,2648214,1851657,2695847,2398573,273803,,479714600
221.5,2626287,1799822,2614738,2346949,273584,,469389800
222.5,2602376,1747728,2534939,2295014,274335,,459002800
223.5,2576536,1695541,2456543,2242873,275850,,448574600
224.5,2548827,1643414,2379629,2190623,277930,,438124600
225.5,2519315,1591493,2304266,2138358,280391,,427671600
226.5,2488072,1539913,2230511,2086165,283066,,417233000
227.5,2455175,1488796,2158413,2034128,285807,,406825600
228.5,2420706,1438255,2088009,1982323,288490,,396464600
229.5,2384751,1388392,2019329,1930824,291008,,386164800
230.5,2347400,1339301,1952397,1879699,293274,,375939800
231.5,2308745,1291062,1887227,1829011,295218,,365802200
232.5,2268882,1243749,1823828,1778819,296785,,355763800
233.5,2227908,1197423,1762202,1729178,297933,,345835600
234.5,2185924,1152140,1702348,1680137,298634,,336027400
